interaction_id,question_id,Problem,category,student_id,student_process,concepts_of_the_problem,concepts_lacking_in_student,response
3405,2641,"if 20 men can build a wall 66 metres long in 10 days , what length of a similar can be built by 86 men in 8 days ?",physics,6,\begin{aligned} & 20 \times 10=200 \\ & 86 \times 8=688 \\ & \frac{688}{200} \times 73=6.88 \times 33 \\ & 100=227.04 \mathrm{~m} \end{aligned},Workload-Time-Speed,No,1
3406,15085,"6 ) a marketing firm determined that , of 240 households surveyed , 80 used neither brand a nor brand b soap . 60 used only brand a soap and for every household that used both brands of soap , 3 used only brand b soap . how many of the 200 household surveyed used both brands of soap ?",other,6,,Inclusion-Exclusion Principle,Inclusion-Exclusion Principle,0
3407,17946,"a company has two models of computers , model x and model y . operating at a constant rate , a model x computer can complete a certain task in 72 minutes and a model y computer can complete the same task in 36 minutes . if the company used the same number of each model of computer to complete the task in 1 minute , how many model x computers were used ?",gain,6,\begin{array}{cc} 72 x=a & y=2 x \\ 31 y=9 & \\ & 36 y=24 y+24 x \\ A: 24 \end{array},Workload-Time-Speed,No,1
3408,2823,find the simple interest on $ 10000 at 6 % per annum for 12 months ?,gain,6,10000 \times 0.06=600,Simple Interest,No,1
3409,2893,"the avg weight of a , b & c is 55 kg . if d joins the group , the avg weight of the group becomes 60 kg . if another man e who weights is 3 kg more than d replaces a , then the avgof b , c , d & e becomes 58 kg . what is the weight of a ?",general,6,$$ \begin{aligned} d \text { weight } & =240-165-75 \\ 75+78 & +b+c=232 \\ b+c & =232-153 \\ & =79 \\ a & =165-79 \\ & =86  \end{aligned} $$  A: $86 \mathrm{~kg}$,Arithmetic Mean,No,1
3410,17320,"find the amount on rs . 8000 in 2 years , the rate of interest being 4 % per first year and 5 % for the second year ?",gain,6,\begin{aligned} & 1.04 x+1.05 x=8000 \\ & 2.09 x=8000 \\ & x=3827.75 \end{aligned},Simple Interest,No,0
3411,2735,"on a trip , a cyclist averaged 11 miles per hour for the first 22 miles and 10 miles per hour for the remaining 20 miles . if the cyclist returned immediately via the same route and took a total of 9 hours for the round trip , what was the average speed ( in miles per hour ) for the return trip ?",physics,6,42 \div 5=8.4,Distance-Time-Speed,No,1
3412,2886,"a sum was put at simple interest at certain rate for 3 years . had it been put at 1 % higher rate it would have fetched rs . 66 more . the sum is : a . rs . 2,400 b . rs . 2,100 c . rs . 2,200 d . rs . 2,480",gain,6,,Simple Interest,Simple Interest,0
3413,16131,mary ' s income is 60 % more than tim ' s income and tim ' s income is 10 % less than juan ' s income . what % of juan ' s income is mary ' s income .,general,6,\begin{aligned} & M=1.6 T \\ & T=0.9 \mathrm{~J} \end{aligned},Ratio Calculation,No,1
3414,2745,"on sunday , bill ran 4 more miles than he ran on saturday . julia did not run on saturday , but she ran twice the number of miles on sunday that bill ran on sunday . if bill and julia ran a total of 16 miles on saturday and sunday , how many miles did bill run on sunday ?",general,6,Bill Saturday: a miles Sun: a ty miles $$ \begin{aligned} & a+a+4+2 a+8=16 \\ & a=1 \quad A=5 \text { smiles } \end{aligned} $$,Expression and Operations with Symbols,No,1
3415,2831,34.94 + 240.016 + 23.98 = ?,general,6,34.94+240.16+23.98=298.936,Basic Math Operations,No,1
3416,2921,"bucket p has thrice the capacity as bucket q . it takes 60 turns for bucket p to fill the empty drum . how many turns it will take for both the buckets p & q , having each turn together to fill the empty drum ?",other,6,Let bucket $q V=bucket p V=3 a$ $180 a \geq 4 a=45$ $A: 45$ turns.,Basic Math Operations,No,1
3417,2683,"there are 6 people in the elevator . their average weight is 170 lbs . another person enters the elevator , and increases the average weight to 151 lbs . what is the weight of the 7 th person .",general,6,\begin{aligned} & 151 \times 7-170.6 \\ = & 1057-1020 \\ = & 37 \quad A=31 l b \end{aligned},Arithmetic Mean,No,1
3418,2639,"two trains 119 meters and 165 meters in length respectively are running in opposite directions , one at the rate of 80 km and the other at the rate of 65 kmph . in what time will they be completely clear of each other from the moment they meet ?",physics,6,284 \div \frac{145}{3.6}=1.05 \mathrm{sec},Distance-Time-Speed && Relative Speed && Unit Conversion,No,1
3419,2857,if length of a rectangle is equal to side of a square and breadth of rectangle is half of length . if area of square is 36 sq . m . calculate the area of rectangle ?,geometry,6,side of square $=\sqrt{36}=6$ $$ \begin{aligned} 6 \times \frac{6}{2} & =18 \\ A & =18 \mathrm{~m}^2 \end{aligned} $$,Area Calculation,No,1
3420,15497,"every year taylor goes to the same carnival , and he attempts to shoot a basketball into a small hoop , hoping that he will win a 10 - foot tall teddy bear . if the probability that taylor does not make a basket is 1 / 3 , what is the probability that taylor makes exactly one basket in 3 tries ?",general,6,$$ \begin{aligned} & \text { p of making a bakket }=\frac{2}{3} \\ & \frac{2}{3} \times \frac{1}{3} \times \frac{1}{3}=\frac{2}{27} \\ & \frac{1}{3} \times \frac{2}{3} \times \frac{1}{3}=\frac{2}{27} \\ & \frac{1}{3} \times \frac{1}{3} \times \frac{2}{3}=\frac{2}{27} \end{aligned} $$ $A=\frac{b}{2 \eta}$,Probability && Permutations and Combinations,No,1
3421,16890,"if 6 men can colour 48 m long cloth in 2 days , then 2 men can colour 36 m long cloth in",physics,6,$$ \begin{aligned} & 48 \div 2=24 \\ & 24 \div 6=4 \end{aligned} $$ a man can color um/ Jay $$ 36 \div 8=4.5 $$,Workload-Time-Speed,No,1
3422,2699,"12 men work 8 hours per day to complete the work in 10 days . to complete the same work in 8 days , working 12 hours a day , the number of men required ?",physics,6,\begin{gathered} 12 \times 8 \times 10=8 \times 12 \times x \\ x=10 \mathrm{men} \end{gathered},Workload-Time-Speed,No,1
3423,2851,27 men working 8 hours per day dig 30 m deep . how many extra men should be put to dig to a depth of 50 m working 6 hours per day ?,physics,6,\begin{aligned} & 27 \times 8 \times \frac{5}{3} \div 6 \\ & =60 \end{aligned},Workload-Time-Speed,No,0
3424,15972,the diagonals of a rhombus are 17 cm and 20 cm . find its area ?,geometry,6,\begin{array}{r} 20 \times 17 \times \frac{1}{2}=170 \\ A: 190 \mathrm{~cm}^2 \end{array},Area Calculation,No,1
3425,2792,"if n is a positive integer and n ^ 2 is divisible by 200 , then what is the largest positive integer that must divide n ?",general,6,\begin{aligned} & 200 \div 100=2 \\ & \sqrt{100}=10 \end{aligned},Prime Factorization,Prime Factorization,0
3426,2768,"if 20 liters of chemical x are added to 80 liters of a mixture that is 5 % chemical x and 95 % chemical y , then what percentage of the resulting mixture is chemical x ?",general,6,\frac{20+80 \times 0.05}{100}=\frac{24}{100}=24 \%,Mixed Solution Concentration,No,1
3427,2637,"of the people who responded to a market survey , 240 preferred brand x and the rest preferred brand y . if the respondents indicated a preference for brand x over brand y by ratio of 6 to 1 , how many people responded to the survey ?",other,6,\begin{aligned} & 6=1=240=x \\ & x=40 \\ & 240+40=280 \end{aligned},Ratio Calculation,No,1
3428,15979,a number when divided by 5 gives a number which is 8 more than the remainder obtained on dividing the same number by 34 . such a least possible number n is,general,6,\begin{aligned} & 75 \pm 5=15 \\ & 75 \div 34=2 \ldots 7 \\ & 15-7=8 \\ & A: 75 \end{aligned},Expression and Operations with Symbols,No,1
3429,2982,"a can do a piece of work in 6 hours ; b and c together can do it in 4 hours , which a and c together can do it in 3 hours . how long will b alone take to do it ?",physics,6,\begin{aligned} & 6a =4 b+4 c=3 a+3 c \\ & 12 b+12 c=12 a+12 c \\ & a=b \quad A=6 hr \end{aligned},Workload-Time-Speed,No,0
3430,15701,"the equal amounts of money are deposited in two banks each at 15 % per annum for 3.5 years and 10 years respectively . if the difference between their interests is rs . 144 , find the each sum ?",general,6,,Simple Interest,Simple Interest,0
3431,2695,3 / 4 of 1 / 2 of 2 / 5 of 5080 = ?,general,6,\begin{aligned} & 5080 \times \frac{2}{\pi} \times \frac{1}{2} \times \frac{3}{421} \\ & =254 \times 3 \\ & =762 \end{aligned},Basic Math Operations,No,1
3432,2984,4 shepherds were watching over the flocks and they were commenting on how many sheep they each had . if ram had 3 more sheep than he would have one less than rahul . wheras akar has the same number as the other 3 shepherds put togeher . if john had 3 less sheep he would have exactly trile the number of ram . if they were evenly distributed if they would each have 11 seep how many sheep did ram have ?,general,6,\begin{aligned} & R_{a m}+3=R_9 h_n \mid-1 \\ & \text { Alcar }=\text { Ram }+R_{\text {ahul }}+\text { John } \\ & \text { Tohn }-3=3 \text { Ram } \\ & 11 \times 4=44 \\ & x+4=y \\ & z-3=3 x \quad z=3 x+3 \\ & x+x+4+3 x+3=5 x+17 \\ & 10 x+14=44 \\ & x=3 \quad A=3 \text { shecps } \\ & \end{aligned},Expression and Operations with Symbols,No,1
3433,2950,"if a coin is flipped , the probability that the coin will land heads is 1 / 2 . if the coin is flipped 5 times , what is the probability that it will land tails up on the first 4 flips and not on the last flip ?",probability,6,\frac{1}{2} \times \frac{1}{2} \times \frac{1}{2} \times \frac{1}{2} \times \frac{1}{2}=\frac{1}{32},Probability,No,1
3434,15394,"an empty fuel tank with a capacity of 200 gallons was filled partially with fuel a and then to capacity with fuel b . fuel a contains 12 % ethanol by volume and fuel b contains 16 % ethanol by volume . if the full fuel tank contains 20 gallons of ethanol , how many gallons of fuel a were added ?",gain,6,\begin{aligned} & x \times 0.12+(200-x) 10.16=20 \\ & 12 x+3200-11 x=2000 \\ & 1200=4 x \\ & x=300 \end{aligned},Mixed Solution Concentration,No,1
3435,16967,a large box contains 20 small boxes and each small box contains 25 chocolate bars . how many chocolate bars are in the large box ?,general,6,25 \times 20=500,Basic Math Operations,No,1
3436,18093,a vantakes 6 hours to cover a distance of 540 km . how much should the speed in kmph be maintained to cover the same direction in 3 / 2 th of the previous time ?,physics,6,\begin{aligned} &6 \times \frac{3}{2}=9\\ &540 \geq 9=60 \end{aligned},Distance-Time-Speed,No,1
3437,15490,"the pinedale bus line travels at an average speed of 60 km / h , and has stops every 5 minutes along its route . yahya wants to go from his house to the pinedale mall , which is 6 stops away . how far away , in kilometers , is pinedale mall away from yahya ' s house ?",physics,6,\begin{aligned} & 5 \times 6=30 \mathrm{~min} \\ & 60 \times \frac{30}{60}=30 \end{aligned},Distance-Time-Speed && Unit Conversion,No,1
3438,2702,"a soccer store typically sells replica jerseys at a discount of 30 percent to 50 percent off list price . during the annual summer sale , everything in the store is an additional 20 percent off the original list price . if a replica jersey ' s list price is $ 80 , approximately what y percent of the list price is the lowest possible sale price ?",general,6,\begin{aligned} & 80 \times 0.5 \times 0.8=32 \\ & 0.5 \times 0.8=0.4=40 \% \end{aligned},Discount Problem,No,1
3439,2849,the average age of a class of 24 students is 23 years . the average increased by 1 when the teacher ' s age also included . what is the age of the teacher ?,general,6,\begin{aligned} & 25 \times 24-24 \times 23 \\ & =48 \end{aligned},Arithmetic Mean,No,1
3440,2609,in the fifth grade at parkway elementary school there are 420 students . 312 students are boys and 250 students are playing soccer . 90 % of the students that play soccer are boys . how many girl student are in parkway that is not playing soccer ?,gain,6,"\begin{aligned} & 250 \times 0,1=25 \text { (girls play } \\ & \text { Soccer) } \\ & 420-312=108 \text { (girls) } \\ & 108-25=83 \end{aligned}",Inclusion-Exclusion Principle,No,1
3441,17751,"the positive numbers w , x , y , and z are such that x is 20 percent greater than y , y is 20 percent greater than z , and w is 20 percent less than x . what percent greater than z is w ?",general,6,\begin{aligned} x & =1.2 y \\ y & =1.2 z \\ w & =0.8 x=0.96 y \\ z & =\frac{5}{6} y \\ \frac{96}{100} y-\frac{5}{6} y \\ & = \frac{576-500}{600}=\frac{76}{600} y=\frac{19}{150} y \\ & \frac{19}{150} \times 100 \%=18.1 \end{aligned},Ratio Calculation,No,0
3442,2502,marts income is 50 percent more than tims income and tims income is 40 percent less than juans income . what percentage of juans income is marts income,general,6,\begin{aligned} &\begin{aligned} M & =1.5 T \quad M=1.5 \times 0.6 \mathrm{~J} \\ T & =0.6 \mathrm{~J} \quad \\ & =0.9 \end{aligned}\\ &A=90 \% \end{aligned},Ratio Calculation,No,1
3443,18376,find the total number of prime factors in the expression ( 4 ) ^ 13 x ( 7 ) ^ 5 x ( 11 ) ^ 2,general,6,2+7+11=20,Prime Factorization,No,0
3444,2935,"in a dairy farm , 16 cows eat 16 bags of husk in 16 days . in how many days one cow will eat one bag of husk ?",physics,6,\begin{aligned} & 16 * 16=1 \\ & A=16 \text { days } \end{aligned},Workload-Time-Speed,No,1
3445,2517,"rs . 1775 is divided amongst a , b , c so that 5 times a ' s share , 3 times b ' s share and 7 times c ' s share are all equal . find c ' s share ?",general,6,\begin{aligned} & 5 a=3 b=7 c \\ & a=\frac{7}{5} c \\ & b=\frac{7}{3} c \\ & \frac{7}{5} c+\frac{7}{5} c+c=1775 \\ & \frac{21+35+15}{15} c=1775 \\ & \frac{71}{15} c=1775 \\ & c=375 \end{aligned},Expression and Operations with Symbols,No,1
3446,16554,"the mean daily profit made by a shopkeeper in a month of 30 days was rs . 350 . if the mean profit for the first fifteen days was rs . 275 , then the mean profit for the last 15 days would be",gain,6,\begin{aligned} & 350 \times 30=10500 \\ & 10500-275 \times 15=6375 \\ & 6375 \div 15=425 \end{aligned},Arithmetic Mean,No,1
3447,2564,"in a division , a student took 78 as divisor instead of 36 . his answer was 24 . the correct answer is -",general,6,\begin{aligned} & 24 \times 78=1872 \\ & 1872 \div 36=52 \end{aligned},Basic Math Operations,No,1
3448,2580,how many seconds will a 500 m long train take to cros a man walking with a speed of 3 kmph in the direction of the moving train if the speed of the train is 63 kmph,physics,6,\begin{gathered} 63+3=66 \\ 500 \div \frac{66}{3.6} \Rightarrow 27.27 \end{gathered},Distance-Time-Speed && Unit Conversion && Relative Speed,No,0
3449,17049,"a  s speed is 21 / 19 times that of b . if a and b run a race , what part of the length of the race should a give b as a head start , so that the race ends in a dead heat ?",general,6,let $a^{\prime}$ speed $=21$ $$ \text { b's speed }=19 $$ let the length of race $$ \begin{aligned} & =399 \\ & \frac{38}{399}=\frac{2}{21} \quad A=\frac{2}{21} \end{aligned} $$,Distance-Time-Speed,No,1
3450,17427,abce is an isosceles trapezoid and acde is a rectangle . ab = 10 and ec = 20 . what is the length of ae .,geometry,6,,Plane Geometry,Plane Geometry,0
3451,16773,a diagonal of a polygon is an segment between two non - adjacent vertices of the polygon . how many diagonals does a regular 30 - sided polygon have ?,geometry,6,\begin{aligned} & 30(30-3) \div 2 \\ = & 10(21) \\ = & 405 \end{aligned},Plane Geometry && Permutations and Combinations,No,1
3452,2862,"in a basketball game , dhoni scored 30 points more than dravid , but only half as many points as shewag . if the 3 players scored a combined total of 150 points , how many points did dhoni score ?",general,6,\begin{gathered} x=y+30=\frac{z}{2} \\ x+x-30+2 x=150 \\ 4 x=180 \\ x=45 \end{gathered},Expression and Operations with Symbols,No,1
3453,16052,a man complete a journey in 20 hours . he travels first half of the journey at the rate of 10 km / hr and second half at the rate of 15 km / hr . find the total journey in km .,physics,6,Let $x=$ half of the journey $$ \begin{aligned} & \frac{x}{10}+\frac{x}{13}=20 \\ & 3 x+2 x=600 \\ & 5 x=600 \\ & x=120 \\ & 120 \times 2=240 \end{aligned} $$,Distance-Time-Speed,No,1
3454,18184,"average of 10 matches is 32 , how many runs one should should score to increase his average by 3 runs .",general,6,\begin{aligned} & 32 \times 10=320 \\ & (32+3) \times 11=385 \\ & 385-320=65 \end{aligned},Arithmetic Mean,No,1
3455,17280,a person p takes 4 hrs time to complete a job and q takes 6 hrs to complete the same job if they work together how much time will they require to complete the job ?,physics,6,\begin{aligned} & 4 p=b q \\ & p=\frac{3}{2} q \\ & 6 q \div\left(q+\frac{3}{2} q\right) \\ & =64 \div \frac{5}{2} q \\ & =6 \times \frac{2}{5} q=\frac{12}{5} \\ & \quad A: 2.4 \mathrm{hr} \end{aligned},Workload-Time-Speed,No,1
3456,15272,"the owner of a furniture shop charges his customer 30 % more than the cost price . if a customer paid rs . 8450 for a computer table , then what was the cost price of the computer table ?",gain,6,\begin{aligned} & 8450=1.3 \\ & =6500 \end{aligned},Ratio Calculation,No,1
3457,17318,there is food for 760 men for 22 days . how many more men should join after two days so that the same food may last for 4 days more ?,physics,6,\begin{aligned} & 760 \times 22=16720 \\ & 760 \times 2=1520 \\ & 16720-1520=15200 \\ & 11200 \div 4=3800 \\ & 3800-760=3040 \end{aligned},Direct Proportion and Inverse Proportion,No,1
3458,17524,"noelle walks from point a to point b at an average speed of 5 kilometers per hour . at what speed , in kilometers per hour , must noelle walk from point b to point a so that her average speed for the entire trip is 8 kilometers per hour ?",physics,6,Let $x=$ distance from $a$ to $b$ $$ \begin{aligned} & \frac{x}{5}+\frac{x}{a}=\frac{2 x}{8}=\frac{x}{4} \\ & \frac{4 x}{20}+\frac{x}{9}=\frac{5 x}{20} \\ & a=20 \end{aligned} $$,Distance-Time-Speed,No,1
3459,17863,a mixture of 125 gallons of wine and water contains 20 % water . how much water must be added to the mixture in order to increase the percentage of water to 25 % of the new mixture ?,general,6,\begin{aligned} & 125 \times 0.2=25 \\ & \frac{(25+x)}{125+x}=0.25 \\ & 100+4 x=125+x \\ & 3 x=25 \\ & x=\frac{25}{3} \quad A: \frac{25}{3} \text { gallans } \end{aligned},Mixed Solution Concentration,No,1
3460,15299,"in a manufacturing plant , it takes 36 machines 4 hours of continuous work to fill 8 standard orders . at this rate , how many hours of continuous work by 72 machines are required to fill 24 standard orders ?",physics,6,\begin{aligned} & \text { T2 machine } 2 \text { hours }=8 \text { orders } \\ & 24 \div 8=3 \\ & 2 \times 3=6 \end{aligned},Workload-Time-Speed,No,1
3461,2752,"ram , who is half as efficient as krish , will take 18 days to complete a task if he worked alone . if ram and krish worked together , how long will they take to complete the task ?",physics,6,\begin{aligned} & 18 r \geq\left(r+\frac{3}{2} r\right) \\ = & 18 r \geq \frac{5}{2} r \\ = & 18 \times \frac{2}{5}=\frac{36}{5}=7.2 \mathrm{days} \end{aligned},Workload-Time-Speed,Workload-Time-Speed,0
3462,2910,the present worth of a certain bill due sometime hence is rs . 1296 and the true discount is rs . 72 . what is the banker ' s discount ?,gain,6,1296-72=1224,Discount Problem && Price Calculation,Discount Problem && Price Calculation,0
3463,17437,"a can do a work in 15 days and b in 20 days . if they work on it together for 4 days , then the fraction of the work that is left is ?",physics,6,\begin{aligned} & 15 a=20 b \\ & a=\frac{4}{3} b \\ & \frac{7}{3} b \times 4=\frac{28}{3} b \\ & 20 b-\frac{28}{3} b=\frac{32}{3} b \\ & A : \frac{8}{15} \end{aligned},Workload-Time-Speed,No,1
3464,2980,find the area of a parallelogram with base 20 cm and height 40 cm ?,geometry,6,20 \times 40=800,Area Calculation,No,1
3465,2903,"the product of x and y is a constant . if the value of x is increased by 40 % , by what percentage must the value of y be decreased ?",general,6,\begin{aligned} & x y=a \\ & \begin{aligned} 1.4 x \times O y & =a \\ O=\frac{10}{14} & =0.7142 \\ & =71.42 \% \\ 100 \%-71.42 \% & =28.58 \end{aligned} \end{aligned},Direct Proportion and Inverse Proportion && Ratio Calculation,No,0
3466,16292,"if x < y < z and y - x > 3 , where x is an even integer and y and z are odd integers , what is the least possible value of z - x ?",general,6,"\begin{aligned} & \text { odd -even }=\text { odd } \\ & y-x>3 \text { the } \min =5 \\ & z, x \Rightarrow \text { the } \min =7 \end{aligned}",Expression and Operations with Symbols,No,1
3467,17867,a thief steals a car at 2.30 pm and drives it at 60 kmph . the theft is discovered at 3 pm and the owner sets off in another car at 75 kmph when will he overtake the thief,physics,6,\begin{aligned} 60 \times 0.5 & =30 \\ 75-60 & =15 \\ 30 & =15=2 \\ \text { A } & =5 \text { p.m. } \end{aligned},Distance-Time-Speed,No,1
3468,17241,"a man is 28 years older than his son . in two years , his age will be twice the age of his son . the present age of the son is",general,6,Let the man age $X \quad$ son $=x-28$ $$ \begin{gathered} x+2=2(x-26) \\ x+2=2 x-52 \\ x=54 \end{gathered} $$ $$ A=26 $$,Expression and Operations with Symbols,No,1
3469,17238,"in 150 m race , a covers the distance in 36 seconds and b in 45 seconds . in this race a beats b by :",physics,6,,Distance-Time-Speed,Distance-Time-Speed,0
3470,16805,"a luxury liner , queen marry ii , is transporting several cats as well as the crew ( sailors , a cook , and one - legged captain ) to a nearby port . altogether , these passengers have 16 heads and 45 legs . how many cats does the ship host ?",general,6,"\begin{gathered} \text { sailor }+ \text { cats }=14 \text { heads } \\ \left\{\begin{array}{cc} x+y=14  \\ 2 x+4 y=42  \end{array}\right.  x=7,y=7 \end{gathered}",Expression and Operations with Symbols,No,1
3471,17416,"in town x , 72 percent of the population are employed , and 36 percent of the population are employed males . what percent of the employed people in town x are females ?",gain,6,\frac{36}{172} \times 100 \%=50 \%,Ratio Calculation,No,1
3472,17666,the perimeter of a triangle is 20 cm and the inradius of the triangle is 2.5 cm . what is the area of the triangle ?,geometry,6,20 \times 2.5 \div 2=25,Area Calculation,No,1
3473,2914,"mike took a taxi to the airport and paid $ 2.50 to start plus $ 0.25 per mile . annie took a different route to the airport and paid $ 2.50 plus $ 5.00 in bridge toll fees plus $ 0.25 per mile . if each was charged exactly the same amount , and annie ' s ride was 18 miles , how many miles was mike ' s ride ?",general,6,\begin{gathered} 2.5+5+0.25 \times 18=12 \\ 9.5=0.25 x \\ x=38 \end{gathered},Expression and Operations with Symbols,No,1
3474,15449,the average of 6 observations is 16 . a new observation is included and the new average is decreased by 1 . the seventh observation is ?,general,6,\begin{aligned} & 16 \times 6=96 \\ & 15 \times 7=105 \\ & 105-96=9 \end{aligned},Arithmetic Mean,No,1
3475,15953,"a welder received an order to make a 1 million liter cube - shaped tank . if he has only 4 x 2 meter sheets of metal that can be cut , how many metal sheets will be required for this ordert ? ( 1 cubic meter = 1000 liters )",general,6,\begin{aligned} & 1000000 L=1000 \mathrm{~m}^3 \\ & 1000 \div 8=125 \end{aligned},Volume Calculation && Unit Conversion && Area Calculation,No,0
3476,16293,"if an amount of rs 42900 is distributed equally amongst 22 persons , how much amount would each person get ?",general,6,\begin{aligned} & 4=900 \div 22 \\ = & 1950 \end{aligned},Basic Math Operations,No,1
3477,17938,robert ' s salary was decreased by 40 % and subsequently increased by 40 % . how much percentage does he lose ?,general,6,$$ \begin{aligned} & 100 \% \times 1.4 \times 0.6 \\ = & 84 \% \end{aligned} $$ $A=16 \%$,Ratio Calculation,No,1
3478,2751,jim drove 1096 miles of a 1200 miles journey . how many more miles does he need to drive to finish his journey ?,physics,6,1200-1096=104,Basic Math Operations,No,1
3479,2611,the length of a rectangular plot is 10 mtr more than its width . the cost of fencing the plot along its perimeter at the rate of rs . 6.5 mtr is rs . 1690 . the perimeter of the plot is ?,geometry,6,,Perimeter Calculation,Perimeter Calculation,0
3480,16334,"in a group of 800 people , 1 / 5 play at least one instrument , 64 play two or more . what is the probability that one student play exactly one instrument ?",general,6,\begin{aligned} 800 \times \frac{1}{5} & -64=96 \\ \frac{96}{800} & =\frac{12}{100} \times 100 \% \\ & =12 \% \end{aligned},Probability,No,1
3481,15602,"a , b and c run around a circular track starting from the same point simultaneously and in the same direction at speeds of 4 kmph , 6 kmph and 8 kmph respectively . if the length of the track is 400 meters , when will a , b and c meet at the starting point for the first time after they started the race ?",physics,6,\begin{aligned} & \frac{400}{4000}=\frac{1}{10} h r=\frac{6}{60} \\ & \frac{400}{6000}=\frac{1}{15} h r=\frac{4}{60} \\ & \frac{400}{8000}=\frac{1}{20} h r=\frac{3}{60} \\ & \frac{12}{60} h r=12 \mathrm{~min} \end{aligned},Distance-Time-Speed && Least Common Multiple,No,1
3482,2730,a shopkeeper labeled the price of his articles so as to earn a profit of 40 % on the cost price . he then sold the articles by offering a discount of 10 % on the labeled price . what is the actual percent profit earned in the deal ?,gain,6,\begin{aligned} &\begin{aligned} & 1 \times 1.4 \times 0.4 \\ & =1.26 \end{aligned}\\ &A=26 \% \end{aligned},Profit && Discount Problem,No,1
3483,15900,"the average of marks obtained by 120 boys was 37 . if the average of marks of passed boys was 39 and that of failed boys was 15 , the number of boys who passed the examination is ?",general,6,\begin{aligned} & 120 \times 37=39 x+15(120-x) \\ & 120 \times 37=24 x+120 \times 15 \\ & x=110 \end{aligned},Arithmetic Mean,No,1
3484,15944,"a cement mixture is composed of 3 elements . by weight , 1 / 3 of the mixture is sand , 1 / 2 of the mixture is water , and the remaining 8 pounds of the mixture is gravel . what is the weight of the entire mixture in pounds ?",general,6,\begin{aligned} & 1-\frac{1}{3}-\frac{1}{2}=\frac{1}{6} \\ & 8 \div \frac{1}{6}=48 \end{aligned},Ratio Calculation,No,1
3485,2902,"noelle walks from point a to point b at an average speed of 3 kilometers per hour . at what speed , in kilometers per hour , must noelle walk from point b to point a so that her average speed for the entire trip is 4 kilometers per hour ?",physics,6,\begin{gathered} \text { Let } \begin{aligned} d_{i s t a n} c e & =x \\ \frac{x}{3}+\frac{x}{n} & =\frac{2 x}{4} \\ a & =0 \end{aligned} \end{gathered},Distance-Time-Speed,No,1
3486,2930,"6 computers , each working at the same constant rate , together can process a certain amount of data in 9 days . how many additional computers , each working at the same constant rate , will be needed to process the same amount of data in 6 days ?",physics,6,$$ \begin{aligned} & 6 \times 9=54 \\ & 54 \div 6=9 \end{aligned} $$  A: 3 more computers,Workload-Time-Speed,No,1
3487,2568,"a tank is filled to one quarter of its capacity with a mixture consisting of water and sodium chloride . the proportion of sodium chloride in the tank is 40 % by volume and the capacity of the tank is 24 gallons . if the water evaporates from the tank at the rate of 0.5 gallons per hour , and the amount of sodium chloride stays the same , what will be the concentration of water in the mixture in 6 hours ?",gain,6,\begin{array}{ll} 24 \times \frac{1}{4}=6 & 3.6-0.5 \times 6=0.6 \\ 6 \times 0.6=3.6 & \frac{0.6}{3}=20 \% \\ 6 \times 0.4=2.4 & \end{array},Mixed Solution Concentration,No,1
3488,17159,at 6  o a clock ticks 6 times . the time between first and last ticks is 45 seconds . how long does it tick at 12  o clock,physics,6,\begin{aligned} & 45 \div 5=9 \\ & 9 \times 11=99 \end{aligned},Arithmetic Sequence/Series,No,1
3489,17137,"if rs . 420 amount to rs . 540 in 4 years , what will it amount to in 6 years at the same rate % per annum ?",gain,6,\begin{aligned} & 540-420=120 \\ & 120 \div 4=30 \\ & 30 \times 6=180 \\ & 420+180=600 \end{aligned},Simple Interest,No,1
3490,2612,the average weight of 4 person ' s increases by 1.5 kg when a new person comes in place of one of them weighing 95 kg . what might be the weight of the new person ?,general,6,95+4 \times 1.5=101,Arithmetic Mean,No,1
3491,16277,"if x is invested in a bank at a rate of simple interest of y % p . a . for two years , then the interest earned is 400 . if x is invested at y % p . a . , for two years when the interest is compounded annually , the interest is 410 . what is the value of x ?",gain,6,\begin{aligned} & 200 \times 4 \%=10 \\ & y=5 \\ & 200 \doteq 0.05=4000 \end{aligned},Simple Interest && Compound Interest,No,1
3492,2806,"alice and bob drive at constant speeds toward each other on a highway . alice drives at a constant speed of 30 km per hour . at a certain time they pass by each other , and then keep driving away from each other , maintaining their constant speeds . if alice is 100 km away from bob at 7 am , and also 100 km away from bob at 11 am , then how fast is bob driving ( in kilometers per hour ) ?",physics,6,\begin{aligned} & 200 \leq 4=50 \\ & 50-30=20 \end{aligned},Distance-Time-Speed && Relative Speed,No,1
3493,2881,"the l . c . m of 22 , 54 , 108 , 135 and 198 is",physics,6,6 \times 11 \times 9 \times 2 \times 3 \times 5=17820,Least Common Multiple,Least Common Multiple,0
3494,16319,"a person can swim in still water at 8 km / h . if the speed of water 4 km / h , how many hours will the man take to swim back against the current for 8 km ?",physics,6,\begin{aligned} & 8-4=4 \\ & 8 \div 4=2 \end{aligned},Distance-Time-Speed && Relative Speed,No,1
